recipe,ingredient,quantity,unit
Homemade Guacamole,avocado,3.0,each
Homemade Guacamole,lime,1.0,each
Homemade Guacamole,red onion,0.25,lb
Homemade Guacamole,cilantro,0.25,bunch
Homemade Guacamole,salt,0.5,tsp
Homemade Guacamole,garlic,1.0,clove
Spicy Indian-Style Hummus,chickpeas (15oz can),1.0,can
Spicy Indian-Style Hummus,tahini,2.0,tbsp
Spicy Indian-Style Hummus,olive oil,2.0,tbsp
Spicy Indian-Style Hummus,lemon,1.0,each
Spicy Indian-Style Hummus,cumin,1.0,tsp
Spicy Indian-Style Hummus,paprika,0.5,tsp
Spicy Indian-Style Hummus,salt,0.5,tsp
Skinny Kale Basil Pesto,kale,0.5,bunch
Skinny Kale Basil Pesto,basil,1.0,bunch
Skinny Kale Basil Pesto,walnuts,0.5,cup
Skinny Kale Basil Pesto,parmesan,0.5,cup
Skinny Kale Basil Pesto,olive oil,4.0,tbsp
Skinny Kale Basil Pesto,garlic,2.0,clove
Skinny Kale Basil Pesto,salt,0.5,tsp
Red onion & Indian-spiced hummus Coleslaw,cabbage,1.5,lb
Red onion & Indian-spiced hummus Coleslaw,red onion,0.5,lb
Red onion & Indian-spiced hummus Coleslaw,yogurt (plain),0.5,cup
Red onion & Indian-spiced hummus Coleslaw,olive oil,1.0,tbsp
Red onion & Indian-spiced hummus Coleslaw,apple cider vinegar,1.0,tbsp
Red onion & Indian-spiced hummus Coleslaw,cumin,0.5,tsp
Red onion & Indian-spiced hummus Coleslaw,salt,0.5,tsp
Chicken Stir Fry,chicken breast,1.0,lb
Chicken Stir Fry,broccoli,0.8,lb
Chicken Stir Fry,bell pepper,1.0,each
Chicken Stir Fry,soy sauce,2.0,tbsp
Chicken Stir Fry,garlic,2.0,clove
Chicken Stir Fry,olive oil,1.0,tbsp
Veggie Fried Rice,rice (dry),1.5,cup
Veggie Fried Rice,egg,3.0,each
Veggie Fried Rice,green onion,0.5,bunch
Veggie Fried Rice,carrot,2.0,each
Veggie Fried Rice,soy sauce,2.0,tbsp
Veggie Fried Rice,olive oil,1.0,tbsp
